Date,AAPL,ADBE,AMD,AMZN,ASML,AVGO,CMCSA,CSCO,EBAY,GOOG,GOOGL,HSIC,INTC,MSFT,PYPL,VRSK
2018-01-01 00:00:00,41.86,199.76,13.74,1450.89,202.96,248.03,42.53,41.54,40.58,1169.94,1182.22,59.36,48.14,95.01,85.32,100.05
2018-02-01 00:00:00,44.53,209.13,12.11,1512.45,195.39,246.46,36.21,44.78,42.86,1104.73,1103.92,51.91,49.29,93.77,79.41,102.19
2018-03-01 00:00:00,41.94,216.08,10.05,1447.34,198.56,235.65,34.17,42.89,40.24,1031.79,1037.14,52.71,52.08,91.27,75.87,104.00
2018-04-01 00:00:00,41.31,221.60,10.88,1566.13,188.45,229.42,31.39,44.29,37.88,1017.33,1018.58,59.61,51.62,93.52,74.61,106.45
2018-05-01 00:00:00,46.72,249.28,13.73,1629.62,196.65,252.07,31.18,42.71,37.72,1084.99,1100.00,54.27,55.20,98.84,82.07,106.24
2018-06-01 00:00:00,46.28,243.81,14.99,1699.80,197.97,242.64,32.81,43.03,36.26,1115.65,1129.19,56.97,49.71,98.61,83.27,107.64
2018-07-01 00:00:00,47.57,244.68,18.33,1777.44,214.00,221.77,35.78,42.29,33.45,1217.26,1227.22,62.28,48.10,106.08,82.14,110.62
2018-08-01 00:00:00,56.91,263.51,25.17,2012.71,205.05,219.03,36.99,47.77,34.61,1218.19,1231.80,60.93,48.43,112.33,92.33,119.09
2018-09-01 00:00:00,56.44,269.95,30.89,2003.00,188.02,246.73,35.41,48.65,33.02,1193.47,1207.08,66.69,47.29,114.37,87.84,120.55
2018-10-01 00:00:00,54.72,245.76,18.21,1598.01,172.36,223.49,38.14,45.75,29.03,1076.77,1090.58,65.10,46.88,106.81,84.19,119.84
2018-11-01 00:00:00,44.65,250.89,21.30,1690.17,171.35,237.41,39.01,47.87,29.85,1094.43,1109.65,69.96,49.31,110.89,85.81,123.32
2018-12-01 00:00:00,39.44,226.24,18.46,1501.97,155.62,254.28,34.05,43.33,28.07,1035.61,1044.96,61.58,46.93,101.57,84.09,109.04
2019-01-01 00:00:00,41.61,247.82,24.41,1718.73,175.03,268.25,36.57,47.29,33.65,1116.37,1125.89,60.94,47.12,104.43,88.76,117.41
2019-02-01 00:00:00,43.29,262.50,23.53,1639.83,182.87,275.36,38.67,51.77,37.15,1119.92,1126.55,59.30,52.96,112.03,98.07,126.43
2019-03-01 00:00:00,47.49,266.49,25.52,1780.75,188.05,300.71,39.98,53.99,37.14,1173.31,1176.89,60.11,53.70,117.94,103.84,133.00
2019-04-01 00:00:00,50.17,289.25,27.63,1926.52,208.82,318.40,43.53,55.95,38.75,1188.48,1198.96,64.06,51.04,130.60,112.77,141.14
2019-05-01 00:00:00,43.77,270.90,27.41,1775.07,188.05,251.64,41.00,52.03,35.93,1103.63,1106.50,64.46,44.04,123.68,109.75,140.00
2019-06-01 00:00:00,49.48,294.65,30.37,1893.63,207.93,287.86,42.28,54.73,39.50,1080.91,1082.80,69.90,47.87,133.96,114.46,146.46
2019-07-01 00:00:00,53.26,298.86,30.45,1866.78,222.81,289.99,43.17,55.40,41.19,1216.68,1218.20,66.54,50.55,136.27,110.40,151.72
2019-08-01 00:00:00,52.19,284.51,31.45,1776.29,222.61,282.64,44.26,46.81,40.29,1188.10,1190.53,61.62,47.41,137.86,109.05,161.54
2019-09-01 00:00:00,55.99,276.25,28.99,1735.91,248.42,276.07,45.08,49.41,38.98,1219.00,1221.14,63.50,51.53,139.03,103.59,158.14
2019-10-01 00:00:00,62.19,277.93,33.93,1776.66,261.97,292.85,44.82,47.51,35.25,1260.11,1258.80,62.59,56.53,143.37,104.10,144.70
2019-11-01 00:00:00,66.81,309.53,39.15,1800.80,270.62,316.21,44.15,45.31,35.52,1304.96,1304.09,68.90,58.05,151.38,108.01,147.48
2019-12-01 00:00:00,73.41,329.81,45.86,1847.84,295.94,316.02,44.97,47.96,36.11,1337.02,1339.39,66.72,59.85,157.70,108.17,149.34
2020-01-01 00:00:00,77.38,351.14,47.00,2008.72,280.66,305.16,43.19,45.97,33.56,1434.23,1432.78,68.94,63.93,170.23,113.89,162.47
2020-02-01 00:00:00,68.34,345.12,45.48,1883.75,276.71,272.62,40.43,39.93,34.64,1339.33,1339.25,60.94,55.52,162.01,107.99,155.11
2020-03-01 00:00:00,63.57,318.24,45.48,1949.72,261.64,237.10,34.38,39.31,30.06,1162.81,1161.95,50.52,54.12,157.71,95.74,139.38
2020-04-01 00:00:00,73.45,353.64,52.39,2474.00,288.43,271.62,37.63,42.38,39.83,1348.66,1346.70,54.56,59.98,179.21,123.00,152.83
2020-05-01 00:00:00,79.49,386.60,53.80,2442.37,329.51,291.27,39.60,47.82,45.54,1428.92,1433.52,60.72,62.93,183.25,155.01,172.68
2020-06-01 00:00:00,91.20,435.31,52.61,2758.82,368.03,315.61,38.98,46.64,52.45,1413.61,1418.05,58.39,59.83,203.51,174.23,170.20
2020-07-01 00:00:00,106.26,444.32,77.43,3164.68,353.72,316.75,42.80,47.10,55.28,1482.96,1487.95,68.73,47.73,205.01,196.07,188.71
